thread;max threads;time;N;M;steps
1;2;3.137679;1000;1000;100
0;2;3.226295;1000;1000;100
1;2;28.648657;1000;1000;1000
0;2;28.773441;1000;1000;1000
1;2;269.518831;1000;1000;10000
0;2;269.608456;1000;1000;10000
1;2;2451.085654;1000;1000;100000
0;2;2451.152783;1000;1000;100000
1;2;2.967077;100;100;100
0;2;3.008608;100;100;100
1;2;30.157690;100;100;1000
0;2;30.182583;100;100;1000
1;2;151.451510;100;100;10000
0;2;151.455907;100;100;10000
1;2;997.237433;100;100;100000
0;2;997.242430;100;100;100000
1;2;4.115926;2000;2000;100
0;2;4.463269;2000;2000;100
1;2;42.071082;2000;2000;1000
0;2;42.416510;2000;2000;1000
1;2;323.248077;2000;2000;10000
0;2;323.633867;2000;2000;10000
1;2;2576.375679;2000;2000;100000
0;2;2576.611911;2000;2000;100000
1;4;3.282179;1000;1000;100
3;4;3.302637;1000;1000;100
2;4;3.355412;1000;1000;100
0;4;3.466167;1000;1000;100
1;4;32.142276;1000;1000;1000
3;4;32.175556;1000;1000;1000
2;4;32.218961;1000;1000;1000
0;4;32.299433;1000;1000;1000
1;4;318.612883;1000;1000;10000
3;4;318.640546;1000;1000;10000
2;4;318.712615;1000;1000;10000
0;4;318.805040;1000;1000;10000
3;4;3183.968045;1000;1000;100000
1;4;3183.971482;1000;1000;100000
2;4;3183.972180;1000;1000;100000
0;4;3184.036661;1000;1000;100000
1;4;2.634993;100;100;100
3;4;2.610115;100;100;100
2;4;2.623621;100;100;100
0;4;2.661267;100;100;100
1;4;26.699452;100;100;1000
2;4;26.684726;100;100;1000
3;4;26.684667;100;100;1000
0;4;26.713319;100;100;1000
3;4;372.009605;100;100;10000
2;4;372.017302;100;100;10000
1;4;372.028430;100;100;10000
0;4;372.033094;100;100;10000
1;4;2572.209780;100;100;100000
3;4;2572.217991;100;100;100000
2;4;2572.226027;100;100;100000
0;4;2572.231210;100;100;100000
1;4;5.142769;2000;2000;100
3;4;5.154127;2000;2000;100
2;4;5.154331;2000;2000;100
0;4;5.508030;2000;2000;100
1;4;46.582386;2000;2000;1000
3;4;47.199566;2000;2000;1000
2;4;47.220017;2000;2000;1000
0;4;47.554560;2000;2000;1000
1;4;436.990846;2000;2000;10000
3;4;436.997251;2000;2000;10000
2;4;437.233050;2000;2000;10000
0;4;437.503118;2000;2000;10000
3;4;3523.781089;2000;2000;100000
1;4;3523.782719;2000;2000;100000
2;4;3523.785605;2000;2000;100000
0;4;3524.018770;2000;2000;100000
1;5;2.713981;1000;1000;100
3;5;2.744718;1000;1000;100
2;5;2.780488;1000;1000;100
4;5;2.805494;1000;1000;100
0;5;2.874023;1000;1000;100
3;5;27.103867;1000;1000;1000
1;5;27.142786;1000;1000;1000
2;5;27.147070;1000;1000;1000
4;5;27.203824;1000;1000;1000
0;5;27.269382;1000;1000;1000
1;5;382.385503;1000;1000;10000
3;5;382.395210;1000;1000;10000
2;5;382.439882;1000;1000;10000
4;5;382.467940;1000;1000;10000
0;5;382.538333;1000;1000;10000
1;5;3183.622902;1000;1000;100000
3;5;3183.631599;1000;1000;100000
2;5;3183.631822;1000;1000;100000
4;5;3183.646422;1000;1000;100000
0;5;3183.711562;1000;1000;100000
1;5;2.200927;100;100;100
4;5;2.208308;100;100;100
3;5;2.214512;100;100;100
2;5;2.219755;100;100;100
0;5;2.222764;100;100;100
1;5;23.576652;100;100;1000
4;5;23.592690;100;100;1000
3;5;23.597727;100;100;1000
2;5;23.597810;100;100;1000
0;5;23.600960;100;100;1000
4;5;310.134825;100;100;10000
3;5;310.139544;100;100;10000
1;5;310.141150;100;100;10000
2;5;310.141467;100;100;10000
0;5;310.150252;100;100;10000
4;5;3098.709047;100;100;100000
1;5;3098.725415;100;100;100000
3;5;3098.726680;100;100;100000
2;5;3098.729640;100;100;100000
0;5;3098.737703;100;100;100000
1;5;3.839175;2000;2000;100
3;5;3.894131;2000;2000;100
2;5;4.083396;2000;2000;100
4;5;4.169751;2000;2000;100
0;5;4.407035;2000;2000;100
1;5;35.497096;2000;2000;1000
3;5;35.569347;2000;2000;1000
2;5;35.767691;2000;2000;1000
4;5;35.869632;2000;2000;1000
0;5;36.218476;2000;2000;1000
3;5;427.171653;2000;2000;10000
1;5;427.211396;2000;2000;10000
2;5;427.486196;2000;2000;10000
4;5;427.677208;2000;2000;10000
0;5;428.217962;2000;2000;10000
1;5;3335.765203;2000;2000;100000
3;5;3335.875775;2000;2000;100000
2;5;3335.882694;2000;2000;100000
4;5;3335.945913;2000;2000;100000
0;5;3336.180224;2000;2000;100000
